CID_Outside_Identifier,Practice Size,Practice Size Code,Specialty,Specialty Code,CFPR,NCR,CPL45,DARO120,DAR
7447-1-1,Single Provider,1,Mental Health,1,0,1,1,0,0
7547-1-1,Single Provider,1,Mental Health,1,0.0723,0,0.012,0,11
2235-1-1,Single Provider,1,Mental Health,1,0.376,0.95,0.2952,0.1874,73.20915
4797-1-1,Single Provider,1,Mental Health,1,0.4444,0.5765,0.7778,0,13.285714
6545-1-2,Small Practice,2,Mental Health,1,0.4521,1,0.6997,0.0149,40.011725
1854-1-2,Small Practice,2,Mental Health,1,0.4907,1,0.312,0.2187,83.813187
5587-1-2,Small Practice,2,Mental Health,1,0.5,1,0.5,0,14
7565-1-4,Big Practice,4,Mental Health,1,0.5,1,0,0,96.666667
7762-1-3,Medium Practice,3,Mental Health,1,0.5192,1,0.649,0.1442,47.55294125
6125-1-2,Small Practice,2,Mental Health,1,0.5419,0.7162,0.3509,0.152,66.430407
7850-1-1,Single Provider,1,Mental Health,1,0.5449,1.0045,0.6527,0,32.316129
6497-1-2,Small Practice,2,Mental Health,1,0.5571,0.9385,0.6747,0.0083,32.797038
5898-1-1,Single Provider,1,Mental Health,1,0.5824,1,0.2637,0.022,26.538462
7965-1-1,Single Provider,1,Mental Health,1,0.6,1,1,0,17.933333
6768-1-1,Single Provider,1,Mental Health,1,0.613,0.9978,0.3696,0.0522,48.611111
8009-1-5,Unkown,5,Mental Health,1,0.6187,1,0.7626,0,10.292453
6544-1-1,Single Provider,1,Mental Health,1,0.6257,0.8493,0.1637,0.1053,81.070796
3811-1-3,Medium Practice,3,Mental Health,1,0.6416,0.9746,0.4897,0.015,43.119013
7254-1-2,Small Practice,2,Mental Health,1,0.6467,1,0.7508,0.0464,30.605889
6757-1-1,Single Provider,1,Mental Health,1,0.6642,1,0.9366,0.0112,18.440299
6205-1-1,Single Provider,1,Mental Health,1,0.6667,1,0.6667,0,25
7751-1-1,Single Provider,1,Mental Health,1,0.6667,1,0.3333,0,12
7672-1-1,Single Provider,1,Mental Health,1,0.6792,0.9719,0.8491,0,32.641509
7647-1-2,Small Practice,2,Mental Health,1,0.6812,0.9005,0.7947,0,24.85389
7824-1-3,Medium Practice,3,Mental Health,1,0.6825,1,0.6667,0,13.837121
7502-1-4,Big Practice,4,Mental Health,1,0.701,1.0024,0.7419,0.0477,50.06473833
7367-1-1,Single Provider,1,Mental Health,1,0.7021,1.0028,0.6383,0,38.255319
7225-1-1,Single Provider,1,Mental Health,1,0.7056,0.7682,0.4112,0.0914,63.979695
7543-1-1,Single Provider,1,Mental Health,1,0.7059,1.0076,0.8588,0,33.151899
1405-1-1,Single Provider,1,Mental Health,1,0.7078,0.9269,0.5251,0.1279,58.273973
6920-1-4,Big Practice,4,Mental Health,1,0.7085,1.0099,0.3512,0.0427,62.13527433
7456-1-2,Small Practice,2,Mental Health,1,0.7154,0.9655,0.6211,0.0344,48.201342
5831-1-2,Small Practice,2,Mental Health,1,0.7188,1,0.5313,0,48.46875
7791-1-1,Single Provider,1,Mental Health,1,0.7237,0.9873,0.7895,0,18.3125
3353-1-2,Small Practice,2,Mental Health,1,0.7273,1.0888,0.6364,0,42
2429-1-1,Single Provider,1,Mental Health,1,0.7321,0.9377,0.5553,0.0181,38.075534
5408-1-3,Medium Practice,3,Mental Health,1,0.7337,1,0.3967,0.1576,68.666667
7717-1-1,Single Provider,1,Mental Health,1,0.7481,1,0.7704,0,22.42963
4233-1-1,Single Provider,1,Mental Health,1,0.7551,1,0.3776,0.0306,61.816327
5031-1-1,Single Provider,1,Mental Health,1,0.7614,0.994,0.665,0.1777,54.908629
7444-1-1,Single Provider,1,Mental Health,1,0.7624,1,0.3213,0.1312,68.034091
5579-1-1,Single Provider,1,Mental Health,1,0.7625,0.6944,0.75,0,20.230216
6233-1-4,Big Practice,4,Mental Health,1,0.7653,0.7307,0.4899,0,23.89376373
7358-1-2,Small Practice,2,Mental Health,1,0.7658,0.9975,0.3698,0.2296,78.369427
5330-1-1,Single Provider,1,Mental Health,1,0.7705,0.9583,0.3607,0,22.5
6463-1-2,Small Practice,2,Mental Health,1,0.7794,1,0.7206,0,38.358209
7277-1-1,Single Provider,1,Mental Health,1,0.7872,0.975,0.7015,0.0081,25.834034
7757-1-4,Big Practice,4,Mental Health,1,0.7889,0.6332,0.5316,0,24.57741
5418-1-2,Small Practice,2,Mental Health,1,0.7901,0.8478,0.8041,0.0151,25.364269
5486-1-1,Single Provider,1,Mental Health,1,0.7931,0.7123,0.4759,0.0069,50.786207
6092-1-1,Single Provider,1,Mental Health,1,0.7936,0.9607,0.694,0.0258,37.772277
5562-1-2,Small Practice,2,Mental Health,1,0.7938,0.6555,0.6188,0.0313,34.796748
3995-1-1,Single Provider,1,Mental Health,1,0.7945,1.0074,0.5294,0.0635,49.5655
7200-1-1,Single Provider,1,Mental Health,1,0.7959,0.1983,0.2041,0,38.384615
7350-1-1,Single Provider,1,Mental Health,1,0.7978,1.0046,0.8275,0.0135,28.885559
7508-1-2,Small Practice,2,Mental Health,1,0.798,1.0031,0.8184,0.0214,30.11285
6534-1-1,Single Provider,1,Mental Health,1,0.8,1.0293,0.6923,0.2462,48.669231
7261-1-2,Small Practice,2,Mental Health,1,0.8007,0.857,0.6257,0.0255,42.776596
5162-1-1,Single Provider,1,Mental Health,1,0.8032,0.954,0.8949,0.0117,19.118729
4350-1-1,Single Provider,1,Mental Health,1,0.8039,1,1,0,12.588235
4530-1-1,Single Provider,1,Mental Health,1,0.8045,0.9808,0.8212,0.0056,17.822086
7958-1-3,Medium Practice,3,Mental Health,1,0.8046,0.9855,0.9195,0,21.03822775
1443-1-1,Single Provider,1,Mental Health,1,0.8057,0.9919,0.8294,0.0095,27.849515
7962-1-1,Single Provider,1,Mental Health,1,0.8077,0.9521,0.716,0.0207,35.615152
4681-1-2,Small Practice,2,Mental Health,1,0.8107,1.0011,0.5268,0.2801,69.6420725
4830-1-3,Medium Practice,3,Mental Health,1,0.8135,0.9799,0.8418,0.0141,33.60144071
1803-1-1,Single Provider,1,Mental Health,1,0.8148,1,0.9259,0,23.518519
7207-1-2,Small Practice,2,Mental Health,1,0.8152,0.9971,0.216,0,59.448207
7642-1-3,Medium Practice,3,Mental Health,1,0.8152,0.8733,0.6277,0,30.77146467
6536-1-1,Single Provider,1,Mental Health,1,0.8213,0.8324,0.6763,0.0193,37.09596
7491-1-1,Single Provider,1,Mental Health,1,0.8214,0.6274,0.6071,0,33.478261
7901-1-3,Medium Practice,3,Mental Health,1,0.8229,0.9791,0.9483,0,21.58209
7668-1-2,Small Practice,2,Mental Health,1,0.828,1.0043,0.7359,0,27.980075
4084-1-1,Single Provider,1,Mental Health,1,0.8281,1,0.6615,0,40.1
773-1-4,Big Practice,4,Mental Health,1,0.8285,0.9333,0.7631,0.0164,34.58759
7098-1-1,Single Provider,1,Mental Health,1,0.8287,0.5847,0.4954,0.0139,37.75
7629-1-1,Single Provider,1,Mental Health,1,0.8293,0.8739,0.8537,0,22.658537
5599-1-1,Single Provider,1,Mental Health,1,0.8298,0.9416,0.6723,0.1106,42.874459
5612-1-1,Single Provider,1,Mental Health,1,0.8305,1.0032,0.1977,0.1638,79.215909
4783-1-2,Small Practice,2,Mental Health,1,0.8333,0.6932,0.3333,0,50.5
7124-1-1,Single Provider,1,Mental Health,1,0.8333,1,1,0,10.5
7650-1-2,Small Practice,2,Mental Health,1,0.8333,1.006,0.3333,0,67.583333
